nabijeci_stanice,nabijeni_interval_zacatek_datum_a_cas,nabijeni_interval_konec_datum_a_cas,spotreba_hodnota,spotreba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-31T07:01:00,2018-01-31T07:15:00,0.716,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-30T16:24:00,2018-01-30T19:37:00,20.180,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-29T16:32:00,2018-01-29T19:31:00,18.194,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-29T10:32:00,2018-01-29T11:44:00,7.841,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-21T09:34:00,2018-01-21T11:40:00,6.521,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-19T13:25:00,2018-01-19T13:53:00,1.066,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-19T09:56:00,2018-01-19T11:53:00,6.438,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-19T09:52:00,2018-01-19T09:53:00,0.025,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-19T09:48:00,2018-01-19T09:48:00,0.015,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-11T15:58:00,2018-01-11T18:53:00,16.391,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-09T16:23:00,2018-01-09T16:33:00,0.551,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-01-02T12:07:00,2018-01-02T13:48:00,11.390,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-02-18T15:52:00,2018-02-18T16:21:00,3.138,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-02-18T12:56:00,2018-02-18T13:10:00,1.536,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-02-15T16:39:00,2018-02-15T18:48:00,12.356,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-02-07T11:10:00,2018-02-07T11:32:00,1.114,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-02-08T09:45:00,2018-02-08T11:01:00,2.324,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-27T19:11:00,2018-03-27T21:09:00,12.918,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-27T15:48:00,2018-03-27T15:51:00,0.218,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-25T17:11:00,2018-03-25T17:13:00,0.170,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-24T15:40:00,2018-03-24T16:08:00,1.644,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-24T09:45:00,2018-03-24T13:51:00,26.273,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-21T08:58:00,2018-03-21T09:47:00,5.535,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-20T22:02:00,2018-03-20T22:10:00,0.461,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-20T20:32:00,2018-03-20T21:20:00,2.878,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-20T06:17:00,2018-03-20T06:31:00,0.790,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-18T19:12:00,2018-03-18T21:09:00,6.226,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-18T13:35:00,2018-03-18T16:39:00,19.634,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-03-17T11:42:00,2018-03-17T13:42:00,6.233,KWH
