nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-30T17:59:00,2020-01-30T19:58:00,13.468,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-30T09:26:00,2020-01-30T12:11:00,18.560,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-30T07:53:00,2020-01-30T08:55:00,7.351,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-29T21:37:00,2020-01-29T22:15:00,4.105,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-29T14:54:00,2020-01-29T15:05:00,0.775,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-29T12:42:00,2020-01-29T14:09:00,6.485,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-28T19:23:00,2020-01-28T21:00:00,5.740,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-28T08:08:00,2020-01-28T12:58:00,14.884,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-27T15:02:00,2020-01-27T15:42:00,4.756,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-27T10:45:00,2020-01-27T12:50:00,13.688,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-27T08:03:00,2020-01-27T09:21:00,5.826,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-26T16:16:00,2020-01-26T17:13:00,6.135,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-25T17:34:00,2020-01-25T19:58:00,8.434,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-25T12:28:00,2020-01-25T14:04:00,11.488,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-25T10:56:00,2020-01-25T12:26:00,10.554,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-24T19:14:00,2020-01-24T19:56:00,4.484,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-22T17:26:00,2020-01-22T18:28:00,6.734,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-22T08:07:00,2020-01-22T12:01:00,10.290,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-21T23:04:00,2020-01-21T23:46:00,4.374,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-21T20:27:00,2020-01-21T22:05:00,11.511,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-21T19:38:00,2020-01-21T19:54:00,1.699,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-21T13:08:00,2020-01-21T17:20:00,11.830,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-21T10:12:00,2020-01-21T11:01:00,5.798,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-20T14:54:00,2020-01-20T15:35:00,4.843,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-20T10:36:00,2020-01-20T13:07:00,17.933,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-17T15:42:00,2020-01-17T17:16:00,8.224,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-17T14:16:00,2020-01-17T15:35:00,9.493,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-17T13:32:00,2020-01-17T13:32:00,0.000,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-17T12:51:00,2020-01-17T13:31:00,4.606,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-16T13:18:00,2020-01-16T14:25:00,7.589,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-16T10:56:00,2020-01-16T13:16:00,14.726,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-15T17:42:00,2020-01-15T18:36:00,5.896,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-15T08:18:00,2020-01-15T10:20:00,12.928,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-14T15:54:00,2020-01-14T18:20:00,14.313,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-13T07:37:00,2020-01-13T08:36:00,6.469,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-12T11:23:00,2020-01-12T11:41:00,2.039,kWh
